name,quadrant,ring,isNew,description
Cypress,Tools,Mature,FALSE,"<p>Cypress is a test automation tool for writing reliable and scalable E2E tests on modern web applications. It focuses on usability for both developers and test automation engineers, breaking the silos between QA and DEV.
Cypress is in the “Market Mature” ring because it has already proven itself in the test community. Many full-stack web frameworks include it as the default E2E test framework. Since writing tests in JavaScript and TypeScript is so easy, it is highly adoptable by developers. It has some amazing features, including comprehensive documentation, automatically load balanced parallelisation of tests, and the Cypress dashboard for test analytics.  It is in active development, with a new version being release several times each month.

</br># weekly downloads 1 year ago: 2,284,941
</br># weekly downloads: 3,968,935</p>"
Selenium,Tools,Mature,TRUE,"<p>Selenium WebDriver is known for being the most popular free and open-source test automation framework. With very little programming effort, you can perform many actions on a frontend web application. It has well-established documentation and firm community support from users across the globe.
</br>
It implements the WebDriver technology that drives the tests through an installed Selenium server which, in turn, communicates with a specific browser driver. It supports a number of browsers (Google Chrome, Internet Explorer, Safari, Opera, Firefox) and operating systems (Windows, Mac, Linux/Unix). You also have the freedom to write test scripts in a variety of programming languages, such as:  Java, .Net, Python, Ruby, and Javascript. Selenium 4 (released in 2022) brought new advanced capabilities around network control and mocking APIs.
</br>
Some of the unique features of Selenium include: multi-tab support, relative locators, W3C compliant, and Selenium Grid.</p>"
Gitlab,Tools,Mature,TRUE,"<p>GitLab is a full-swing DevOps CI/CD platform. Although it is mostly known by, and used for, Continuous Integration and Continuous Deployment, it also has the capabilities to plan your sprints, track bugs, etc. The platform can be used 'as a service' from Gitlab.com, via a partner or hosted on-premise.
</br>
GitLab Inc (the company) is famous for being a world leader in remote work. Especially during COVID, they garnered a lot of attention with their Remote Playbook, which is a manual for Gitlab employees.</p>"
Playwright,Tools,Growing,FALSE,"<p>Playwright is a test automation tool for modern web applications that enables you to write reliable cross-device and cross-browser tests.
Playwright is in the “Growing Market” ring as it is a relatively young product (v1.0.0 as of May 2020), although with a steadily expanding community. Roughly once per month a new version of Playwright is released with new features. The number of companies using Playwright is growing steadily. Their ranks include Microsoft, who uses it for products such as Bing and Outlook

</br># weekly downloads 1 year ago: 233,244
</br># weekly downloads: 644,667</p>"
API testing,Tools,Growing,TRUE,"<p>API testing is the practice of testing APIs by directly accessing the endpoints. This can be done to verify functionality, performance, availability, security and more.
There are a lot of tools that are specialized in API testing and also tools that add it as part of their broader offering. For example, in the browser space: Cypress and Playwright are browser testing tools at heart, but since a lot of APIs are approached by applications running in the browser, these tools have included API testing as well.
</br>
I believe API testing is in the Growing market, because it is often introduced after unit, integration and end-to-end testing. Also, other more recent API languages, such as GraphQL (2015), allow for growth in the API testing area.</p>"
Testcafe,Tools,Exploring,FALSE,"<p>TestCafe is an open source test automation tool for web applications which focusses on end-to-end testing. It's income model is focused on TestCafe Studio, which helps developers and quality engineers record tests, run tests and analyse test results.
TestCafe distinguishes itself by natively supporting most browsers, which for some users is an important feature.
TestCafe is in the ""Exploring Market"" as we don't come across it very often or at conferences and meetups, The NPM download statistics don't yet show a large or growing user base.

</br># weekly downloads 1 year ago: 242,896
</br># weekly downloads: 257,228</p>"
Feedback from production,Operational Techniques,Mature,FALSE,"<p>Getting Feedback from production is also known as ‘Shifting-Right’. In an effor to be more agile, many organisations have invested in the well-known process of ‘Shifting-Left’. This means testing and getting feedback in your development lifecycle as early as possible. The lesser-known, and now emerging, concept of ‘Shifting-Right’ focuses on leveraging your production systems as part of a feedback loop to increase confidence and decrease your testing efforts up-front, especially when Continuous Delivery is being practised. Both Technical Monitoring and Functional Monitoring add feedback to catch issues that impact your customer experience. We believe Functional Monitoring is key to getting the right feedback from production to ensure that customer-impacting issues can be quickly found and fixed. Check out <a href=""https://qxperts.io/improve-your-functional-monitoring-with-the-functional-monitoring-quadrants/"">our blog</a> for more information to get started.</p>"
Change management,Operational Techniques,Mature,FALSE,"<p>Change management is about implementing strategies for dealing with necessary changes in an organisation's goals, processes or technologies, and to help people adapt to these changes.
</br>Change management is positioned in the ""Growing market"" ring as coping with change has become more challenging in agile environments and, while the concepts are old, change management is currently reinventing itself to adapt to the new ways of working.<p>"
Deployment automation,Operational Techniques,Mature,FALSE,"<p>Deployment Automation allows for the rapid release of products and features to various environments, freeing developers from the pain and mistakes normally associated with manual deployments. As a key element in DevOps and CI/CD pipelines, it is more a practise than a technology and vital for any organization wanting to increase their velocity.
</br>Deployment Automation is in the ""Market mature"" ring because it has been an established practise for many decades, at least as long as CI/CD.</p>"
Infrastructure as code,Operational Techniques,Mature,FALSE,"<p>Infrastructure as Code is a technique to help manage IT infrastructure by using code (machine and human readable definitions) instead of manually mutating configurations of infrastructure, teams use software development principles like code repositories, collaboration tooling (MR reviews), testing and delivering techniques of IT landscape configuration changes. 
</br>IaC is in the ""Market mature"" ring because it has been an established practise, with many tools now available and major cloud / infrastructure providers already using this principle.</p>"
Continous Delivery,Operational Techniques,Mature,FALSE,"<p>As an industry, we are gradually learning that adding more steps and controls between development and deployment does not make for a safer release. The data suggests the opposite: organisations that release often, have the safest releases. Releasing often means that we release smaller increments and have a greater rate of learning. The best performers release multiple times a day, and they are leaving the competition behind. 
</br>To realise this fast cadence we need to continuously integrate with our team members to get our code into an always-deployable state. This continuously integrated codebase needs to be deployed continuously to our environments. Doing multiple deployments per day means we need to automate everything. The practice of continuously deploying is getting market mature (as the data suggests) and the tooling is following close behind. With Infrastructure as Code, GitOps and Observability tooling becoming mainstream, the goal of continuous Delivery is getting in range of almost all software organisations.</p>"
Disaster recovery testing,Operational Techniques,Growing,FALSE,"<p>Disaster recovery testing is about testing the (often theoretical) plans to recover from a critical event that cripples the operational ability of an organization.

</br>Disaster recovery testing is positioned in the ""Growing Market"" ring as, with the rise of Cloud and DevOps, more possibilities are becoming available to do Disaster Recovery Testing on a continuous basis and to make it part of the normal Quality Assurance activities during the Software Development Lifecycle.</p>"
Micro front-ends,Operational Techniques,Growing,TRUE,"<p>Micro frontends is the frontend version of micro services (the latter which typically live in the backend). Micro frontends can go hand-in-hand with micro services, but this is not a hard requirement. One of the benefits is that there is decoupling at the frontend, meaning different teams can deploy their micro frontends independently of each other, while the user still sees one application. This allows for a coherent experience. There are different approaches to implementing micro frontends as described in <a href=""https://martinfowler.com/articles/micro-frontends.html"">THIS ARTICLE</a>.
</br>
Appearing on the Thoughtworks Technology Radar in 2016, and now in the adopt phase, I believe most companies have not moved to recent developments to implement micro frontends. One of those developments is module federation. This concept has been in development since 2019 and was born at the company that created WebPack. It provides runtime integration and works in most cases, but is still under development.
If you look at the broader definition of micro frontends, I believe it should be in the growing market.</p>"
Proactive notifications,Operational Techniques,Exploring,FALSE,"<p>Proactive notifications means informing interested parties of potential issues using trained AI models to identify certain anomalous behaviour. Doing this ensures they do not accure and can be solved proactively and prevent a possible negative outcome (like a noticeable outage / issue with business impact) . It is used mainly in monitoring products which have all the necessary infrastructure / application contexts to make predictions.

</br>Proactive notifications is positioned in the ""Exploring market"" ring as it's actively being worked on and many new technologies frequently become available.</p>"
Gitlab,Delivery,Mature,FALSE,"<p>Gitlab is a fullswing DevOps CICD platform. Although it is mostly known by and used for Continuous Integration and Continuous Deployment, it also has the capabilities to plan your sprints, track bugs, etcetera.
The platform can be used 'as a service' from Gitlab.com, via a partner or hosted on premise.
</br>Gitlab Inc (the company) is famous for being a world leader in remote work. Especially during covid they gathered a lot of attention with their Remote Playbook, which is a manual for Gitlab employees.</p>"
Retrospectives,Development Techniques,Mature,TRUE,"<p>A retrospective originates from the LEAN approach and is an essential part of the continuous improvement process. During a retrospective, the team reflects on what happened in the relevant period and identifies actions for further improvement.
</br>
</br>Typical questions asked during a retrospective are:
</br>- What worked well?
</br>- What did not work well?
</br>- What actions can we take to improve our process going forward?
</br>
The Ninth Agile principle outlined in the Agile manifesto states, ""At regular intervals, the team reflects on how to become more effective, then tunes and adjusts its behaviour accordingly."" Because Agile stresses the importance of continuous improvement, having regular retrospectives is one of the most important parts of development practices.</p>"
